order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	21.608695652173914	1.1304347826086956	0.9248894366698096	1.011269132494289	0.14697116745266792	-0.005883160121881725	0.80982545103073	0.7885491579000583	0.8306823652665553	0.8400434349014135
Risky first	22.52173913043478	1.1304347826086956	0.9263470951785243	1.0113284049175972	0.14528168405010192	-0.006022361169934487	0.8042015273917317	0.7820516808953811	0.8312272022468508	0.8406436805724247
Risky first	23.434782608695652	1.1304347826086956	0.927726845786922	1.0114850850010422	0.143718030733802	-0.006321505137392602	0.7985483155299226	0.7755891926576259	0.8317339579801025	0.8412864931857572
Risky first	24.34782608695652	1.1304347826086956	0.9289370947381081	1.0117117223492613	0.14236168087956114	-0.0067274673585875355	0.7928725089544411	0.7691688978222522	0.832256790441161	0.8420039508940953
Risky first	25.26086956521739	1.1304347826086956	0.9299647346949856	1.0119971989958256	0.14121756834809565	-0.00721967584590133	0.7871905651038168	0.762803344046638	0.8328079594424478	0.8427993222571863
Risky first	26.173913043478258	1.1304347826086956	0.9308317839669452	1.0123383390068912	0.1402558322439364	-0.007793399419472102	0.7815221992471687	0.7565066254504212	0.8333802316557481	0.8436627594755582
Risky first	27.08695652173913	1.1304347826086956	0.9315574950006592	1.0127320604418053	0.13944995692373205	-0.008444552069367894	0.775884204506524	0.7502904995291275	0.833967303197914	0.8445854253087193
Risky first	28.0	1.1304347826086956	0.9321585764942163	1.0131753414130036	0.13877658892280853	-0.009169471985722488	0.7702907657482605	0.7441646569530099	0.8345637734691116	0.8455594361154917
Risky first	7.0	1.2608695652173914	0.8110374539639396	1.0286056981848561	0.2870928418675972	-0.05312396258520291	0.8243739608057504	0.8406674416597145	0.860001244019062	0.884602180044072
Risky first	7.913043478260869	1.2608695652173914	0.8111651306559102	1.0239853600672688	0.2830367685931427	-0.04586547529225615	0.8415431113233595	0.8500835936647954	0.864300207891518	0.8850307595840112
Risky first	8.826086956521738	1.2608695652173914	0.815997103330693	1.0206136766622713	0.2760102540520085	-0.039516242297358506	0.8522839655696479	0.8548852841172041	0.8654119316120533	0.8832512533499758
Risky first	9.73913043478261	1.2608695652173914	0.8238580708090739	1.0181628883392335	0.26741460722530047	-0.034172956816395095	0.8580007501870528	0.856169232905957	0.86468262686614	0.8803877608667848
Risky first	10.652173913043478	1.2608695652173914	0.8329858491902404	1.0163284224116096	0.2582137209240129	-0.029649138548476728	0.8600232607670506	0.8548776887910334	0.8631076203582839	0.8772008061701732
Risky first	11.565217391304348	1.2608695652173914	0.8420508328563154	1.0148841239230961	0.24906953565950915	-0.025719306510575635	0.8594397004520511	0.8517543848546196	0.861324725990055	0.8741447899497179
Risky first	12.478260869565217	1.2608695652173914	0.8502417034410619	1.0136798157681877	0.24045003403623422	-0.02221598665662594	0.8570729636657983	0.8473596310770949	0.8597000173012097	0.871460555153798
Risky first	13.391304347826086	1.2608695652173914	0.8571760139136888	1.0126226581079025	0.23266637296165535	-0.019040656056143246	0.8535158354805699	0.8421028620580405	0.8584173769966649	0.8692528860603763
Risky first	14.304347826086957	1.2608695652173914	0.8627725774085185	1.0116603818194316	0.22588465316095416	-0.01614701694564824	0.8491805557484104	0.8362762901989257	0.8575437614394021	0.8675430491246571
Risky first	15.217391304347826	1.2608695652173914	0.8671401667333417	1.0107698913222714	0.22013935947504296	-0.013523375013749117	0.8443452877893517	0.830084005489632	0.8570704807738974	0.8663010367073591
Risky first	16.130434782608695	1.2608695652173914	0.8704974929625197	1.0099501939488125	0.21535394085444917	-0.011181177299222744	0.8391917809053001	0.8236650782341882	0.8569376030796739	0.8654642984323472
Risky first	17.043478260869563	1.2608695652173914	0.8731231304004636	1.0092180899050405	0.21136452867160493	-0.009149227868064713	0.8338335476773389	0.8171110199697447	0.8570479495035167	0.8649482945549707
Risky first	17.956521739130434	1.2608695652173914	0.8753280982395383	1.008605403189728	0.20794148131196524	-0.007471265773927427	0.8283359797011268	0.8104786042283724	0.8572752625841833	0.8646524618633001
